frame_id,label,definition,cues
economic,Economic,Costs benefits or other financial implications,"cost,budget,tax,revenue,jobs,economic"
capacity_and_resources,Capacity and resources,Availability or lack of time money personnel or infrastructure,"staffing,resources,capacity,feasibility,funding availability"
morality,Morality,Religious or ethical dimensions,"moral,ethical,religious,right and wrong,values"
fairness_and_equality,Fairness and equality,Equality or inequality of treatment rights or outcomes,"fairness,equity,equal,discrimination,disparity"
legality_constitutionality_jurisprudence,"Legality, constitutionality and jurisprudence",Rights freedoms legal authority and court interpretation,"legal,ordinance,constitution,statute,jurisdiction,compliance"
policy_prescription_and_evaluation,Policy prescription and evaluation,Whether an existing or proposed policy works or is recommended,"recommendation,effective,evaluation,implementation,best practice"
crime_and_punishment,Crime and punishment,Effectiveness and implications of law enforcement and penalties,"crime,enforcement,penalty,violation,policing"
security_and_defense,Security and defense,Threats to the nation community or individuals,"security,threat,defense,protection,safety of the public"
health_and_safety,Health and safety,Health care public health and safety hazards,"health,safety,hazard,risk,sanitation,flood"
quality_of_life,Quality of life,Effects on daily life community character and wellbeing,"quality of life,traffic,noise,neighborhood character,property value,congestion"
cultural_identity,Cultural identity,Traditions customs heritage and social norms of a group,"heritage,historic,culture,identity,tradition"
public_opinion,Public opinion,Reference to general social attitudes or polling,"residents support,public opposition,community sentiment,constituents"
political,Political,Considerations of political gain partisanship or process,"political,partisan,election,votes,reputation of officials"
external_regulation_and_reputation,External regulation and reputation,Reputation or relations with other jurisdictions or external bodies,"state mandate,regional,reputation,external regulation,intergovernmental"
other,Other,Any coherent argument that does not fit the other frames,"miscellaneous,uncategorized"
